true_dd,lm_fitted_dd,rf_fitted_dd,region
56.8,151.22745870164727,92.49468456553133,Eastern Mediterranean
153.6,179.62018831300247,139.7975617190188,America
173.4,212.82524497712984,159.83534533798687,America
5,143.52773541721217,93.27926647235336,Europe
261.4,291.2661759373141,346.7550618971437,Africa
362,469.3222768898804,243.49170888538333,Eastern Mediterranean
139.6,236.88688024098974,163.46673304293546,Africa
362,749.3997113612131,390.761318696056,Western Pacific
61.6,162.29581092302305,94.04294960305027,Europe
40,151.22745870164727,92.49468456553133,Europe
261.4,276.34796207372074,247.3339406443326,Eastern Mediterranean
56.8,152.67115681747873,92.92672280304348,Western Pacific
56.8,145.4526662383214,92.63502010871699,Africa
183.4,254.69249033624692,160.17359261720586,South-East Asia
56.8,151.70869140692503,93.3831266023814,Eastern Mediterranean
261.4,263.35467903123663,206.9993732524789,America
1554,892.8070575338206,922.6923459665229,Eastern Mediterranean
362,846.6087178272082,662.8197753001388,Europe
97,182.5075845446654,150.4014377433733,Europe
173.4,217.15633932462424,161.45135815849966,Eastern Mediterranean
362,435.15475481519843,581.2729287468292,South-East Asia
362,382.7003899399833,373.30372584110773,Europe
183.4,256.1361884520784,160.27262590913134,America
37.6,156.37177116844123,65.19830484493708,Eastern Mediterranean
142.4,184.28326807451958,147.29405875343176,America
164.6,217.48832473864695,159.2220931280237,America
2,147.22834976817467,64.08248855591242,Europe
251.6,291.5981613513359,337.7219893136357,Africa
398,475.91028747250584,206.8839128971825,Eastern Mediterranean
128.4,238.18133106556616,157.66275891556944,Africa
398,755.9877219438386,384.65625580366657,Western Pacific
51,167.44012338981702,70.96270111393784,Europe
41,154.92807305260976,64.09374504309191,Europe
251.6,289.67323053022756,284.9679269556921,Eastern Mediterranean
37.6,155.89053846316438,66.18245817827042,Western Pacific
37.6,149.1532805892839,63.51040885894271,Africa
168,256.94940657137704,136.43471062409915,South-East Asia
37.6,155.89053846316438,66.18245817827042,Eastern Mediterranean
251.6,268.98022420330744,233.38608240243056,America
398,841.1659107779042,549.1835724884073,Eastern Mediterranean
398,839.7222126620727,485.1463343792948,Europe
108,185.72696619035105,147.44119208676508,Europe
128.4,223.26311720197282,160.46817630262692,Eastern Mediterranean
398,449.44248868225895,484.0498117078487,South-East Asia
398,379.66374641706443,378.32177195298647,Europe
251.6,261.7617336241492,172.6634787463884,America
43.6,160.07238551940372,68.29866022161332,Eastern Mediterranean
143.6,188.9463478360367,154.26444965710988,America
182.6,222.15140450016315,171.82434264934557,America
7,150.92896411913716,66.91718326876916,Europe
264.4,298.1861719339622,294.53581583650526,Africa
234.4,485.3856942867942,176.52851519138324,Eastern Mediterranean
141.8,244.28810894291473,171.41221871843993,Africa
234.4,760.6508017053557,325.08114527560286,Western Pacific
